,W1,W2,W3,Z152,Z223,Z268,Z272,Z70,Z81,Z9
W1,1.0,0.29,0.28,0.69,0.64,0.39,0.4,0.31,0.63,0.55
W2,0.29,1.0,0.31,0.31,0.28,0.48,0.38,0.37,0.26,0.13
W3,0.28,0.31,1.0,0.24,0.38,0.4,0.43,0.5,0.31,0.18
Z152,0.69,0.31,0.24,1.0,0.7,0.54,0.46,0.37,0.65,0.63
Z223,0.64,0.28,0.38,0.7,1.0,0.56,0.43,0.39,0.71,0.56
Z268,0.39,0.48,0.4,0.54,0.56,1.0,0.54,0.48,0.43,0.32
Z272,0.4,0.38,0.43,0.46,0.43,0.54,1.0,0.67,0.36,0.29
Z70,0.31,0.37,0.5,0.37,0.39,0.48,0.67,1.0,0.3,0.23
Z81,0.63,0.26,0.31,0.65,0.71,0.43,0.36,0.3,1.0,0.64
Z9,0.55,0.13,0.18,0.63,0.56,0.32,0.29,0.23,0.64,1.0
