,W1,W2,W3,Z152,Z223,Z268,Z272,Z70,Z81,Z9
W1,1.0,0.44,0.44,0.77,0.73,0.53,0.53,0.46,0.72,0.66
W2,0.44,1.0,0.46,0.46,0.43,0.6,0.52,0.51,0.41,0.29
W3,0.44,0.46,1.0,0.4,0.52,0.54,0.56,0.62,0.46,0.34
Z152,0.77,0.46,0.4,1.0,0.78,0.65,0.59,0.51,0.74,0.73
Z223,0.73,0.43,0.52,0.78,1.0,0.66,0.56,0.52,0.79,0.67
Z268,0.53,0.6,0.54,0.65,0.66,1.0,0.65,0.6,0.56,0.47
Z272,0.53,0.52,0.56,0.59,0.56,0.65,1.0,0.76,0.5,0.44
Z70,0.46,0.51,0.62,0.51,0.52,0.6,0.76,1.0,0.45,0.39
Z81,0.72,0.41,0.46,0.74,0.79,0.56,0.5,0.45,1.0,0.73
Z9,0.66,0.29,0.34,0.73,0.67,0.47,0.44,0.39,0.73,1.0
